username, created_at, lng, lat, text
Jackson2020KAG, Wed Apr 22 06:26:25 +0000 2020, -89.987272, 35.131797, `☆ ☆ ☆  Re👍Elect  ☆ ☆ ☆         President  TRUMP  🌲  🇺🇸  🌲  🇺🇸  🌲  🇺🇸  🌲 https://t.co/gIfIHgpuid
bogwopitt, Wed Apr 22 06:26:50 +0000 2020, -0.641935, 53.589889, Now we understand the level of intelligence of the Trump voters.
KPrudhv96009424, Wed Apr 22 06:27:20 +0000 2020, 80.093303, 17.187562, @EricTrump @realDonaldTrump I love you Mr Donald Trump United States of America
dudosmokokos, Wed Apr 22 06:27:31 +0000 2020, -83.377181, 42.484279, @CNN You say it in a way that you want it to happen. This is why the nation hates your station &amp; others like it. No… https://t.co/PYlNaio8iy
guy_ste, Wed Apr 22 06:27:34 +0000 2020, 6.133299, 49.815490, „In Höchstform“ sei Angela Merkel, heißt es in den USA. Erfahren und rational kämpfe sie gegen das Coronavirus. Sel… https://t.co/9OIBJ8ERUV
potatominto, Wed Apr 22 06:27:38 +0000 2020, 100.406976, 5.532124, same energy iykyk
TimMonbrod, Wed Apr 22 06:27:44 +0000 2020, -117.104989, 32.810012, @WhiteHouse Good Idea‼️👍👏✊ TRUMP/PENCE 4 COMMON SENSE 2020🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸 https://t.co/Rg4SwYS7qw
amrabog, Wed Apr 22 06:27:50 +0000 2020, -80.322631, 25.940281, Hahaha...this tread is priceless
BernarditaBane1, Wed Apr 22 06:27:54 +0000 2020, -58.647999, -34.443916, ES POR ESO ... QUE PODRÍA SUFRIR UN ATENTADO CONTRA SU VIDA...!!.
maryinsouthie, Wed Apr 22 06:28:04 +0000 2020, -93.588078, 45.312947, @SW7805 @LBC @NickFerrariLBC https://t.co/Skh48ScLIa
cboynton06, Wed Apr 22 06:28:24 +0000 2020, -73.968542, 40.780709, @RodRosenstein  blah blah blah.  Whose side are you  on while Barr and Impotus lie to us and your fellow Americans… https://t.co/uOgU12VnqF
saumen70, Wed Apr 22 06:28:38 +0000 2020, 88.502579, 22.563368, @realDonaldTrump According to President Trump Harvard should give back the money now. As their whole "endowment" system should be looked at.
Balorac1, Wed Apr 22 06:28:42 +0000 2020, -9.033307, 51.903863, @piersmorgan Why are you surprised, Pierce? Trump isn’t doing anything that couldn’t have been predicted
Pshubhamrai, Wed Apr 22 06:28:45 +0000 2020, 77.095086, 28.638489, Mr. Trump plans to suspend Immigration to U.S.  आइऐ आपको एक कहानी सुनाता हूँ, कहानी १६ साल के बेटे Fadrique की जो… https://t.co/GM1abPvx3Q
Pshubhamrai, Wed Apr 22 06:28:46 +0000 2020, 77.095086, 28.638489, ब्याह करके अमेरिका में बस गई थी।सन् १९६७ में Merry की शादी Fadrique जिनका मैंने जिक्र किया उनके बेटे Fred Trump से… https://t.co/aTN1TCh4JM
BernarditaBane1, Wed Apr 22 06:28:50 +0000 2020, -58.647999, -34.443916, DECI..."" QUE DÍOS LOS PROTEJA..!!
KPrudhv96009424, Wed Apr 22 06:28:52 +0000 2020, 80.093303, 17.187562, @EricTrump @realDonaldTrump Eric Trump is a Leading Businessman and Son of Mr Donald Trump United States of America in my opinion 🤔🤔
naborala, Wed Apr 22 06:28:53 +0000 2020, -95.446486, 29.838495, I never knew that one tweet has so much official power - guess what people would do if they are not on twitter #IMG
Juliacsk, Wed Apr 22 06:29:16 +0000 2020, -118.156711, 33.809172, @Strandjunker Donald Trump is president and Mitch McConnell is evil.
HorseHpc, Wed Apr 22 06:29:22 +0000 2020, 2.242932, 48.837455, @CorentinSellin @demontvalon1 Trump, s’en bat, comme se sont les plus démunis qui décèdent ! Et qui plus est, de co… https://t.co/JJLGIpda7a
QuantOfAsia, Wed Apr 22 06:29:26 +0000 2020, 114.064237, 22.246533, With oil prices negative, would the oil and money in this deal flow from US--&gt;China or the other way around?
chadelmartin, Wed Apr 22 06:29:53 +0000 2020, -97.455741, 35.695222, @soledadobrien care to comment? 🦗🦗🦗
bootyzou, Wed Apr 22 06:30:06 +0000 2020, -79.957910, 37.274489, #Easiest election EVER lolThank GOD EVERYDAY TRUMP PENCE POMPEO. One of the president's staunchest critics ga… https://t.co/DxAs1Ao8J9
Chris_ulmer15, Wed Apr 22 06:30:14 +0000 2020, -79.002112, 35.054627, Yes ma’am I do.
TimMonbrod, Wed Apr 22 06:30:19 +0000 2020, -117.104989, 32.810012, @TafurVicky @WhiteHouse TRUMP/PENCE 4 COMMON SENSE ‼️👍✊👏 2020 ELECTIONS ‼️ https://t.co/15qq4vVzdI
DavefromFlint, Wed Apr 22 06:30:47 +0000 2020, -83.725610, 42.994459, @DrascillasD @realCDHilton @JFNYC1 1000 people died in the last bad flu season like this, Obama was playing golf un… https://t.co/CUK0CU1aT6
brandydoe, Wed Apr 22 06:30:47 +0000 2020, -77.014398, 38.898603, trump got all the sense huh
smbjettyfiremen, Wed Apr 22 06:30:56 +0000 2020, -116.952353, 32.799253, @Matthew_4_Trump @DrLee4America Trump should suspend the presidential election. Watch China virus deaths plummet ...
destroyideas, Wed Apr 22 06:31:29 +0000 2020, -116.516513, 33.954588, To the people who say Trump is an economy president: he’s not. The markets collapsed when they realized there wasn’… https://t.co/4NehNxdY4e
bobjize, Wed Apr 22 06:31:34 +0000 2020, 39.282390, -6.878811, @BenBell45725386 @Busyrathy Good morning kale ka chibonge kweli kanaumwa maana kasingee kaa kimya na choko choko za ka trump
seoo66, Wed Apr 22 06:31:48 +0000 2020, 48.086077, 28.841996, @SergioNovelli Hagan el favor y le envían al sr trump una traducción de este video , ahh y foto tipo carnet , eso… https://t.co/kiScFV9u1F
Aloisiusblog, Wed Apr 22 06:32:08 +0000 2020, 6.250031, 49.768031, @angeljimenez La solucion para todo de Trump. Crisis económica? Parar la inmigración. Terrorismo? Parar la inmigrac… https://t.co/cG4ywSgt4j
CaseyKeri, Wed Apr 22 06:32:28 +0000 2020, -118.918886, 34.188478, @MBC914 @wickedlilmis @Toure @TaritaC I’m not sure yet  maybe trump. He’s not my favorite person. Don’t like the rh… https://t.co/so7xX9Um2f
SonnyGaultney, Wed Apr 22 06:32:44 +0000 2020, -83.173867, 32.678207, 👌
WalsHotSpurs, Wed Apr 22 06:32:54 +0000 2020, -6.247622, 53.354902, A Judge shouldn't waste any juries times and pronounce, Guilty as per indictment......
The_FishmanAU, Wed Apr 22 06:33:20 +0000 2020, 145.053135, -37.972566, Youtube is deliberately misinforming people as they need to keep the China is innocent &amp; Trump caused it narrative… https://t.co/7YBZFqxGpo
JeriKMiller1, Wed Apr 22 06:33:37 +0000 2020, -89.569491, 44.900818, Yes, Americans please do what is best for your kids. Vote for Democrats, Repubs have proven over n over, they don't… https://t.co/h8I6XP1vIB
loripass, Wed Apr 22 06:33:46 +0000 2020, -84.202565, 39.430269, @realDonaldTrump @nytimes DONALD TRUMP IS A FAKE &amp; A PHONY!
